LaptopID,Company,Type,Inches,ScreenAndRes,Screen,Resolution,CpuMan,CPU/Withclock,CPU,Ram,Ram(GB),Storage(Primary),Storage(Secondary),Storage(P(GB)),Storage(S(GB)),Storage(GB),Gpu,OS
1084,Lenovo,Notebook,15.6,1366x768,Regular,1366x768,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,8GB,8,2TB HDD,,2000,0,"2,000",Nvidia GeForce 940MX,No OS
490,Dell,Notebook,15.6,Touchscreen 1366x768,Touchscreen, 1366x768,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 620,Windows 10
1022,Lenovo,Notebook,15.6,1366x768,Regular,1366x768,Intel Core i3 6006U 2GHz,Core i3 6006U 2GHz,Core i3 6006,8GB,8,2TB HDD,,2000,0,"2,000",Nvidia GeForce 920MX,No OS
1076,Lenovo,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,AMD A12-Series 9720P 3.6GHz,A12-Series 9720P 3.6GHz,A12-Series 9720P ,12GB,12,2TB HDD,,2000,0,"2,000",AMD Radeon 530,Windows 10
703,HP,Notebook,15.6,1366x768,Regular,1366x768,AMD A12-Series 9700P 2.5GHz,A12-Series 9700P 2.5GHz,A12-Series 9700P ,8GB,8,2TB HDD,,2000,0,"2,000",AMD Radeon R7 Graphics,Windows 10
715,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD A10-Series 9620P 2.5GHz,A10-Series 9620P 2.5GHz,A10-Series 9620P ,6GB,6,2TB HDD,,2000,0,"2,000",AMD Radeon 530,Windows 10
717,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD A10-Series 9600P 2.4GHz,A10-Series 9600P 2.4GHz,A10-Series 9600P ,6GB,6,2TB HDD,,2000,0,"2,000",AMD Radeon R7 M440,Windows 10
920,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD FX 8800P 2.1GHz,FX 8800P 2.1GHz,FX 8800P ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",AMD Radeon R9 M385,Windows 10
1188,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10
249,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1080,Windows 10
355,Dell,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10
527,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1060,Windows 10
1175,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10
1195,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10
1109,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1060,Windows 10
421,Dell,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10
382,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10
1196,MSI,Gaming,18.4,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 6920HQ 2.9GHz,Core i7 6920HQ 2.9GHz,Core i7 6920HQ ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GTX 980 SLI,Windows 10
359,Dell,Gaming,17.3,2560x1440,Regular,2560x1440,Intel Core i7 6820HK 2.7GHz,Core i7 6820HK 2.7GHz,Core i7 6820HK ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1080,Windows 10
900,Lenovo,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 6820HK 2.7GHz,Core i7 6820HK 2.7GHz,Core i7 6820HK ,32GB,32,512GB SSD,1.0TB Hybrid,512,"1,000","1,512",Nvidia GeForce GTX 980M,Windows 10
171,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 6700HQ 2.6GHz,Core i7 6700HQ 2.6GHz,Core i7 6700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1060,Windows 10
143,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 6700HQ 2.6GHz,Core i7 6700HQ 2.6GHz,Core i7 6700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 980M,Windows 10
526,Dell,Workstation,15.6,4K Ultra HD 3840x2160,4K Ultra HD ,3840x2160,Intel Xeon E3-1505M V6 3GHz,Xeon E3-1505M V6 3GHz,Xeon E3-1505M V6,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia Quadro M1200,Windows 10
242,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,AMD Ryzen 1700 3GHz,Ryzen 1700 3GHz,Ryzen 170,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10
226,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD Ryzen 1700 3GHz,Ryzen 1700 3GHz,Ryzen 170,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10
276,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,AMD Ryzen 1700 3GHz,Ryzen 1700 3GHz,Ryzen 170,8GB,8,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10
216,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,AMD Ryzen 1600 3.2GHz,Ryzen 1600 3.2GHz,Ryzen 1600 ,8GB,8,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10
263,Asus,Ultrabook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce MX150,Windows 10
543,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce 940MX,Windows 10
476,Dell,Gaming,27.3,IPS Panel 2560x1440,IPS Panel ,2560x1440,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
418,Dell,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
761,HP,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,12GB,12,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
402,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
139,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
141,Asus,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
156,Asus,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
158,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
160,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
173,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
204,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX1050 Ti,Windows 10
220,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10
221,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
237,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
245,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 980M,Windows 10
254,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10
383,Dell,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
427,Dell,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
1152,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
1156,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
1160,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
1165,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
1172,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
1178,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
1181,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10
1184,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
1190,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
1198,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
1200,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
10,Acer,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
31,Acer,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
444,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
518,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
561,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
731,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10
798,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10
1090,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10
1104,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
1177,MSI,Gaming,14,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10
1194,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10
